setpoint_onset_s,frozen_channel_0_based,training_center_adc,training_mad_scale_adc,frozen_threshold,max_score_60s,threshold_minus_peak,longest_consecutive_gt_threshold_s,new_alarm_within_60s
27169.01,1,81.8,103.57443599999998,32.40802296,0.8760849057387097,31.531938054261285,0,0
27369.01,1,81.8,103.57443599999998,32.40802296,0.8784986287543001,31.529524331245696,0,0
27569.01,1,81.8,103.57443599999998,32.40802296,0.8729953402787539,31.535027619721244,0,0
28469.01,1,81.8,103.57443599999998,32.40802296,0.8706298917234753,31.537393068276522,0,0
28669.01,1,81.8,103.57443599999998,32.40802296,0.8690368345331855,31.53898612546681,0,0
28869.01,1,81.8,103.57443599999998,32.40802296,0.8706298917234753,31.537393068276522,0,0
29163.01,1,81.8,103.57443599999998,32.40802296,0.8769055715640104,31.531117388435987,0,0
29555.01,1,81.8,103.57443599999998,32.40802296,0.8682644431681965,31.5397585168318,0,0
30061.01,1,81.8,103.57443599999998,32.40802296,0.8690368345331855,31.53898612546681,0,0
30668.01,1,81.8,103.57443599999998,32.40802296,0.5519219047449123,31.856101055255085,0,0
30866.01,1,81.8,103.57443599999998,32.40802296,0.5590182504107482,31.84900470958925,0,0
31194.01,1,81.8,103.57443599999998,32.40802296,0.5819003445985457,31.826122615401452,0,0
31565.01,1,81.8,103.57443599999998,32.40802296,0.5819003445985457,31.826122615401452,0,0
31778.01,1,81.8,103.57443599999998,32.40802296,0.5739833331074089,31.834039626892586,0,0
